08/04/1981 09:00:00,2.84,G;C,103,100,0,0
09/04/1981 09:00:00,2.76,G;C,103,100,0,0
10/04/1981 09:00:00,2.65,G;C,103,100,0,0
11/04/1981 09:00:00,2.57,G;C,103,100,0,0
12/04/1981 09:00:00,2.46,G;C,103,100,0,0
13/04/1981 09:00:00,2.20,G;C,103,100,0,0
14/04/1981 09:00:00,2.09,G;C,103,100,0,0
15/04/1981 09:00:00,1.98,G;C,103,100,0,0
16/04/1981 09:00:00,1.91,G;C,103,100,0,0
17/04/1981 09:00:00,1.88,G;C,103,100,0,0
18/04/1981 09:00:00,1.83,G;C,103,100,0,0
19/04/1981 09:00:00,1.79,G;C,103,100,0,0
20/04/1981 09:00:00,1.74,G;C,103,100,0,0
21/04/1981 09:00:00,1.70,G;C,103,100,0,0
22/04/1981 09:00:00,1.67,G;C,103,100,0,0
23/04/1981 09:00:00,1.65,G;C,103,100,0,0
24/04/1981 09:00:00,1.76,G;C,103,100,0,0
25/04/1981 09:00:00,2.04,G;C,103,100,0,0
26/04/1981 09:00:00,2.11,G;C,103,100,0,0
27/04/1981 09:00:00,3.33,G;C,103,100,0,0
28/04/1981 09:00:00,5.94,G;C,103,100,0,0
29/04/1981 09:00:00,5.13,G;C,103,100,0,0
30/04/1981 09:00:00,4.77,G;C,103,100,0,0
01/05/1981 09:00:00,3.91,G;C,103,100,0,0
02/05/1981 09:00:00,3.24,G;C,103,100,0,0
03/05/1981 09:00:00,3.58,G;C,103,100,0,0
04/05/1981 09:00:00,3.45,G;C,103,100,0,0
05/05/1981 09:00:00,3.39,G;C,103,100,0,0
06/05/1981 09:00:00,3.25,G;C,103,100,0,0
07/05/1981 09:00:00,2.98,G;C,103,100,0,0
08/05/1981 09:00:00,2.77,G;C,103,100,0,0
09/05/1981 09:00:00,2.70,G;C,103,100,0,0
10/05/1981 09:00:00,2.63,G;C,103,100,0,0
11/05/1981 09:00:00,2.42,G;C,103,100,0,0
12/05/1981 09:00:00,2.30,G;C,103,100,0,0
13/05/1981 09:00:00,2.21,G;C,103,100,0,0
14/05/1981 09:00:00,2.12,G;C,103,100,0,0
15/05/1981 09:00:00,2.07,G;C,103,100,0,0
16/05/1981 09:00:00,2.06,G;C,103,100,0,0
17/05/1981 09:00:00,2.00,G;C,103,100,0,0
18/05/1981 09:00:00,2.06,G;C,103,100,0,0
19/05/1981 09:00:00,1.95,G;C,103,100,0,0
20/05/1981 09:00:00,2.37,G;C,103,100,0,0
21/05/1981 09:00:00,2.12,G;C,103,100,0,0
22/05/1981 09:00:00,2.06,G;C,103,100,0,0
23/05/1981 09:00:00,2.18,G;C,103,100,0,0
24/05/1981 09:00:00,2.07,G;C,103,100,0,0
25/05/1981 09:00:00,2.51,G;C,103,100,0,0
26/05/1981 09:00:00,2.21,G;C,103,100,0,0
27/05/1981 09:00:00,2.11,G;C,103,100,0,0
28/05/1981 09:00:00,2.70,G;C,103,100,0,0
29/05/1981 09:00:00,2.24,G;C,103,100,0,0
30/05/1981 09:00:00,2.11,G;C,103,100,0,0
31/05/1981 09:00:00,2.04,G;C,103,100,0,0
01/06/1981 09:00:00,2.23,G;C,103,100,0,0
02/06/1981 09:00:00,2.71,G;C,103,100,0,0
03/06/1981 09:00:00,2.29,G;C,103,100,0,0
04/06/1981 09:00:00,2.22,G;C,103,100,0,0
05/06/1981 09:00:00,2.16,G;C,103,100,0,0
06/06/1981 09:00:00,2.14,G;C,103,100,0,0
07/06/1981 09:00:00,2.09,G;C,103,100,0,0
08/06/1981 09:00:00,2.06,G;C,103,100,0,0
09/06/1981 09:00:00,1.99,G;C,103,100,0,0
10/06/1981 09:00:00,1.96,G;C,103,100,0,0
11/06/1981 09:00:00,2.11,G;C,103,100,0,0
12/06/1981 09:00:00,2.13,G;C,103,100,0,0
13/06/1981 09:00:00,1.95,G;C,103,100,0,0
14/06/1981 09:00:00,2.19,G;C,103,100,0,0
15/06/1981 09:00:00,2.21,G;C,103,100,0,0
16/06/1981 09:00:00,1.97,G;C,103,100,0,0
17/06/1981 09:00:00,1.90,G;C,103,100,0,0
18/06/1981 09:00:00,1.85,G;C,103,100,0,0
19/06/1981 09:00:00,1.83,G;C,103,100,0,0
20/06/1981 09:00:00,1.77,G;C,103,100,0,0
21/06/1981 09:00:00,1.70,G;C,103,100,0,0
22/06/1981 09:00:00,1.63,G;C,103,100,0,0
23/06/1981 09:00:00,1.58,G;C,103,100,0,0
24/06/1981 09:00:00,1.57,G;C,103,100,0,0
25/06/1981 09:00:00,1.54,G;C,103,100,0,0
26/06/1981 09:00:00,1.51,G;C,103,100,0,0
27/06/1981 09:00:00,1.48,G;C,103,100,0,0
28/06/1981 09:00:00,1.46,G;C,103,100,0,0
29/06/1981 09:00:00,1.43,G;C,103,100,0,0
30/06/1981 09:00:00,1.42,G;C,103,100,0,0
01/07/1981 09:00:00,1.44,G;C,103,100,0,0
02/07/1981 09:00:00,1.43,G;C,103,100,0,0
03/07/1981 09:00:00,1.41,G;C,103,100,0,0
04/07/1981 09:00:00,1.37,G;C,103,100,0,0
05/07/1981 09:00:00,1.35,G;C,103,100,0,0
06/07/1981 09:00:00,1.33,G;C,103,100,0,0
07/07/1981 09:00:00,1.32,G;C,103,100,0,0
08/07/1981 09:00:00,1.31,G;C,103,100,0,0
09/07/1981 09:00:00,1.31,G;C,103,100,0,0
10/07/1981 09:00:00,1.31,G;C,103,100,0,0
11/07/1981 09:00:00,1.28,G;C,103,100,0,0
12/07/1981 09:00:00,1.28,G;C,103,100,0,0
13/07/1981 09:00:00,1.22,G;C,103,100,0,0
14/07/1981 09:00:00,1.20,G;C,103,100,0,0
15/07/1981 09:00:00,1.20,G;C,103,100,0,0
16/07/1981 09:00:00,1.20,G;C,103,100,0,0
17/07/1981 09:00:00,1.27,G;C,103,100,0,0
18/07/1981 09:00:00,1.28,G;C,103,100,0,0
19/07/1981 09:00:00,1.28,G;C,103,100,0,0
20/07/1981 09:00:00,1.38,G;C,103,100,0,0
21/07/1981 09:00:00,1.82,G;C,103,100,0,0
22/07/1981 09:00:00,2.10,G;C,103,100,0,0
23/07/1981 09:00:00,2.14,G;C,103,100,0,0
24/07/1981 09:00:00,1.72,G;C,103,100,0,0
25/07/1981 09:00:00,1.52,G;C,103,100,0,0
26/07/1981 09:00:00,1.41,G;C,103,100,0,0
27/07/1981 09:00:00,1.27,G;C,103,100,0,0
28/07/1981 09:00:00,1.21,G;C,103,100,0,0
29/07/1981 09:00:00,1.16,G;C,103,100,0,0
30/07/1981 09:00:00,1.13,G;C,103,100,0,0
31/07/1981 09:00:00,1.10,G;C,103,100,0,0
01/08/1981 09:00:00,1.08,G;C,103,100,0,0
02/08/1981 09:00:00,1.06,G;C,103,100,0,0
03/08/1981 09:00:00,1.02,G;C,103,100,0,0
04/08/1981 09:00:00,1.01,G;C,103,100,0,0
05/08/1981 09:00:00,1.02,G;C,103,100,0,0
06/08/1981 09:00:00,1.26,G;C,103,100,0,0
07/08/1981 09:00:00,1.30,G;C,103,100,0,0
08/08/1981 09:00:00,1.29,G;C,103,100,0,0
09/08/1981 09:00:00,1.13,G;C,103,100,0,0
10/08/1981 09:00:00,1.06,G;C,103,100,0,0
11/08/1981 09:00:00,1.03,G;C,103,100,0,0
12/08/1981 09:00:00,1.00,G;C,103,100,0,0
13/08/1981 09:00:00,0.981,G;C,103,100,0,0
14/08/1981 09:00:00,0.966,G;C,103,100,0,0
15/08/1981 09:00:00,0.941,G;C,103,100,0,0
16/08/1981 09:00:00,0.928,G;C,103,100,0,0
17/08/1981 09:00:00,0.907,G;C,103,100,0,0
18/08/1981 09:00:00,0.899,G;C,103,100,0,0
19/08/1981 09:00:00,0.912,G;C,103,100,0,0
20/08/1981 09:00:00,1.32,G;C,103,100,0,0
21/08/1981 09:00:00,0.960,G;C,103,100,0,0
22/08/1981 09:00:00,0.963,G;C,103,100,0,0
23/08/1981 09:00:00,0.952,G;C,103,100,0,0
24/08/1981 09:00:00,0.867,G;C,103,100,0,0
25/08/1981 09:00:00,0.837,G;C,103,100,0,0
26/08/1981 09:00:00,0.816,G;C,103,100,0,0
27/08/1981 09:00:00,0.800,G;C,103,100,0,0
28/08/1981 09:00:00,0.792,G;C,103,100,0,0
29/08/1981 09:00:00,0.786,G;C,103,100,0,0
30/08/1981 09:00:00,0.777,G;C,103,100,0,0
31/08/1981 09:00:00,0.763,G;C,103,100,0,0
01/09/1981 09:00:00,0.755,G;C,103,100,0,0
02/09/1981 09:00:00,0.748,G;C,103,100,0,0
03/09/1981 09:00:00,0.737,G;C,103,100,0,0
04/09/1981 09:00:00,0.725,G;C,103,100,0,0
05/09/1981 09:00:00,0.713,G;C,103,100,0,0
06/09/1981 09:00:00,0.717,G;C,103,100,0,0
07/09/1981 09:00:00,0.709,G;C,103,100,0,0
08/09/1981 09:00:00,0.708,G;C,103,100,0,0
09/09/1981 09:00:00,0.693,G;C,103,100,0,0
10/09/1981 09:00:00,0.700,G;C,103,100,0,0
11/09/1981 09:00:00,0.839,G;C,103,100,0,0
12/09/1981 09:00:00,0.784,G;C,103,100,0,0
13/09/1981 09:00:00,0.725,G;C,103,100,0,0
14/09/1981 09:00:00,0.731,G;C,103,100,0,0
15/09/1981 09:00:00,0.923,G;C,103,100,0,0
16/09/1981 09:00:00,0.756,G;C,103,100,0,0
17/09/1981 09:00:00,0.733,G;C,103,100,0,0
18/09/1981 09:00:00,0.848,G;C,103,100,0,0
19/09/1981 09:00:00,1.97,G;C,103,100,0,0
20/09/1981 09:00:00,1.62,G;C,103,100,0,0
21/09/1981 09:00:00,1.14,G;C,103,100,0,0
22/09/1981 09:00:00,1.03,G;C,103,100,0,0
23/09/1981 09:00:00,0.942,G;C,103,100,0,0
24/09/1981 09:00:00,0.949,G;C,103,100,0,0
25/09/1981 09:00:00,0.965,G;C,103,100,0,0
26/09/1981 09:00:00,4.21,G;C,103,100,0,0
27/09/1981 09:00:00,2.26,G;C,103,100,0,0
28/09/1981 09:00:00,1.81,G;C,103,100,0,0
29/09/1981 09:00:00,2.06,G;C,103,100,0,0
30/09/1981 09:00:00,2.49,G;C,103,100,0,0
01/10/1981 09:00:00,2.09,G;C,103,100,0,0
02/10/1981 09:00:00,2.12,G;C,103,100,0,0
03/10/1981 09:00:00,1.95,G;C,103,100,0,0
04/10/1981 09:00:00,2.38,G;C,103,100,0,0
05/10/1981 09:00:00,2.00,G;C,103,100,0,0
06/10/1981 09:00:00,2.16,G;C,103,100,0,0
07/10/1981 09:00:00,2.07,G;C,103,100,0,0
08/10/1981 09:00:00,3.97,G;C,103,100,0,0
09/10/1981 09:00:00,4.98,G;C,103,100,0,0
10/10/1981 09:00:00,5.31,G;C,103,100,0,0
11/10/1981 09:00:00,4.34,G;C,103,100,0,0
12/10/1981 09:00:00,3.99,G;C,103,100,0,0
13/10/1981 09:00:00,3.77,G;C,103,100,0,0
14/10/1981 09:00:00,3.16,G;C,103,100,0,0
15/10/1981 09:00:00,2.78,G;C,103,100,0,0
16/10/1981 09:00:00,2.53,G;C,103,100,0,0
17/10/1981 09:00:00,2.37,G;C,103,100,0,0
18/10/1981 09:00:00,2.25,G;C,103,100,0,0
19/10/1981 09:00:00,2.47,G;C,103,100,0,0
20/10/1981 09:00:00,3.34,G;C,103,100,0,0
21/10/1981 09:00:00,2.64,G;C,103,100,0,0
22/10/1981 09:00:00,2.41,G;C,103,100,0,0
23/10/1981 09:00:00,2.28,G;C,103,100,0,0
24/10/1981 09:00:00,2.87,G;C,103,100,0,0
25/10/1981 09:00:00,3.06,G;C,103,100,0,0
26/10/1981 09:00:00,2.69,G;C,103,100,0,0
27/10/1981 09:00:00,2.62,G;C,103,100,0,0
28/10/1981 09:00:00,2.55,G;C,103,100,0,0
29/10/1981 09:00:00,2.50,G;C,103,100,0,0
30/10/1981 09:00:00,2.76,G;C,103,100,0,0
31/10/1981 09:00:00,2.78,G;C,103,100,0,0
01/11/1981 09:00:00,2.56,G;C,103,100,0,0
02/11/1981 09:00:00,2.65,G;C,103,100,0,0
03/11/1981 09:00:00,2.46,G;C,103,100,0,0
04/11/1981 09:00:00,2.32,G;C,103,100,0,0
05/11/1981 09:00:00,2.20,G;C,103,100,0,0
06/11/1981 09:00:00,2.12,G;C,103,100,0,0
07/11/1981 09:00:00,2.05,G;C,103,100,0,0
08/11/1981 09:00:00,1.98,G;C,103,100,0,0
09/11/1981 09:00:00,1.88,G;C,103,100,0,0
10/11/1981 09:00:00,1.81,G;C,103,100,0,0
11/11/1981 09:00:00,1.89,G;C,103,100,0,0
12/11/1981 09:00:00,1.81,G;C,103,100,0,0
13/11/1981 09:00:00,1.75,G;C,103,100,0,0
14/11/1981 09:00:00,1.70,G;C,103,100,0,0
15/11/1981 09:00:00,1.72,G;C,103,100,0,0
16/11/1981 09:00:00,1.77,G;C,103,100,0,0
17/11/1981 09:00:00,2.02,G;C,103,100,0,0
18/11/1981 09:00:00,6.72,G;C,103,100,0,0
19/11/1981 09:00:00,3.30,G;C,103,100,0,0
20/11/1981 09:00:00,3.65,G;C,103,100,0,0
21/11/1981 09:00:00,3.10,G;C,103,100,0,0
22/11/1981 09:00:00,2.80,G;C,103,100,0,0
23/11/1981 09:00:00,3.23,G;C,103,100,0,0
24/11/1981 09:00:00,2.88,G;C,103,100,0,0
25/11/1981 09:00:00,2.88,G;C,103,100,0,0
26/11/1981 09:00:00,3.12,G;C,103,100,0,0
27/11/1981 09:00:00,4.44,G;C,103,100,0,0
28/11/1981 09:00:00,4.12,G;C,103,100,0,0
29/11/1981 09:00:00,3.46,G;C,103,100,0,0
30/11/1981 09:00:00,5.96,G;C,103,100,0,0
01/12/1981 09:00:00,4.18,G;C,103,100,0,0
02/12/1981 09:00:00,3.53,G;C,103,100,0,0
03/12/1981 09:00:00,3.22,G;C,103,100,0,0
04/12/1981 09:00:00,3.67,G;C,103,100,0,0
05/12/1981 09:00:00,3.18,G;C,103,100,0,0
06/12/1981 09:00:00,3.10,G;C,103,100,0,0
07/12/1981 09:00:00,3.04,G;C,103,100,0,0
08/12/1981 09:00:00,2.82,G;C,103,100,0,0
09/12/1981 09:00:00,2.68,G;C,103,100,0,0
10/12/1981 09:00:00,2.58,G;C,103,100,0,0
11/12/1981 09:00:00,2.47,G;C,103,100,0,0
12/12/1981 09:00:00,2.37,G;C,103,100,0,0
13/12/1981 09:00:00,2.34,G;C,103,100,0,0
14/12/1981 09:00:00,2.37,G;C,103,100,0,0
15/12/1981 09:00:00,2.25,G;C,103,100,0,0
16/12/1981 09:00:00,2.16,G;C,103,100,0,0
17/12/1981 09:00:00,2.08,G;C,103,100,0,0
18/12/1981 09:00:00,2.01,G;C,103,100,0,0
19/12/1981 09:00:00,1.98,G;C,103,100,0,0
20/12/1981 09:00:00,2.00,G;C,103,100,0,0
21/12/1981 09:00:00,1.95,G;C,103,100,0,0
22/12/1981 09:00:00,1.87,G;C,103,100,0,0
23/12/1981 09:00:00,1.84,G;C,103,100,0,0
24/12/1981 09:00:00,1.80,G;C,103,100,0,0
25/12/1981 09:00:00,1.76,G;C,103,100,0,0
26/12/1981 09:00:00,1.75,G;C,103,100,0,0
27/12/1981 09:00:00,1.72,G;C,103,100,0,0
28/12/1981 09:00:00,1.72,G;C,103,100,0,0
29/12/1981 09:00:00,2.08,G;C,103,100,0,0
30/12/1981 09:00:00,6.71,G;C,103,100,0,0
31/12/1981 09:00:00,4.90,G;C,103,100,0,0
01/01/1982 09:00:00,3.61,G;C,103,100,0,0
02/01/1982 09:00:00,6.89,G;C,103,100,0,0
03/01/1982 09:00:00,9.11,G;C,103,100,0,0
04/01/1982 09:00:00,6.19,G;C,103,100,0,0
05/01/1982 09:00:00,8.37,G;C,103,100,0,0
06/01/1982 09:00:00,5.46,G;C,103,100,0,0
07/01/1982 09:00:00,4.59,G;C,103,100,0,0
08/01/1982 09:00:00,4.18,G;C,103,100,0,0
09/01/1982 09:00:00,3.84,G;C,103,100,0,0
10/01/1982 09:00:00,3.58,G;C,103,100,0,0
11/01/1982 09:00:00,3.36,G;C,103,100,0,0
12/01/1982 09:00:00,3.17,G;C,103,100,0,0
13/01/1982 09:00:00,3.01,G;C,103,100,0,0
14/01/1982 09:00:00,2.88,G;C,103,100,0,0
15/01/1982 09:00:00,2.80,G;C,103,100,0,0
16/01/1982 09:00:00,2.81,G;C,103,100,0,0
17/01/1982 09:00:00,3.13,G;C,103,100,0,0
18/01/1982 09:00:00,3.39,G;C,103,100,0,0
19/01/1982 09:00:00,3.14,G;C,103,100,0,0
20/01/1982 09:00:00,3.27,G;C,103,100,0,0
21/01/1982 09:00:00,3.14,G;C,103,100,0,0
22/01/1982 09:00:00,4.67,G;C,103,100,0,0
23/01/1982 09:00:00,4.44,G;C,103,100,0,0
24/01/1982 09:00:00,3.55,G;C,103,100,0,0
25/01/1982 09:00:00,3.46,G;C,103,100,0,0
26/01/1982 09:00:00,3.70,G;C,103,100,0,0
27/01/1982 09:00:00,3.30,G;C,103,100,0,0
28/01/1982 09:00:00,3.27,G;C,103,100,0,0
29/01/1982 09:00:00,3.54,G;C,103,100,0,0
30/01/1982 09:00:00,3.48,G;C,103,100,0,0
31/01/1982 09:00:00,3.47,G;C,103,100,0,0
01/02/1982 09:00:00,3.26,G;C,103,100,0,0
02/02/1982 09:00:00,3.12,G;C,103,100,0,0
03/02/1982 09:00:00,2.89,G;C,103,100,0,0
04/02/1982 09:00:00,2.86,G;C,103,100,0,0
05/02/1982 09:00:00,3.16,G;C,103,100,0,0
06/02/1982 09:00:00,2.94,G;C,103,100,0,0
07/02/1982 09:00:00,2.86,G;C,103,100,0,0
08/02/1982 09:00:00,2.57,G;C,103,100,0,0
09/02/1982 09:00:00,2.59,G;C,103,100,0,0
10/02/1982 09:00:00,2.56,G;C,103,100,0,0
11/02/1982 09:00:00,2.45,G;C,103,100,0,0
12/02/1982 09:00:00,2.39,G;C,103,100,0,0
13/02/1982 09:00:00,2.33,G;C,103,100,0,0
14/02/1982 09:00:00,2.23,G;C,103,100,0,0
15/02/1982 09:00:00,2.17,G;C,103,100,0,0
16/02/1982 09:00:00,2.12,G;C,103,100,0,0
17/02/1982 09:00:00,2.08,G;C,103,100,0,0
18/02/1982 09:00:00,2.04,G;C,103,100,0,0
19/02/1982 09:00:00,2.01,G;C,103,100,0,0
20/02/1982 09:00:00,1.96,G;C,103,100,0,0
21/02/1982 09:00:00,1.92,G;C,103,100,0,0
22/02/1982 09:00:00,1.90,G;C,103,100,0,0
23/02/1982 09:00:00,1.87,G;C,103,100,0,0
24/02/1982 09:00:00,1.86,G;C,103,100,0,0
25/02/1982 09:00:00,1.89,G;C,103,100,0,0
26/02/1982 09:00:00,2.08,G;C,103,100,0,0
27/02/1982 09:00:00,1.95,G;C,103,100,0,0
28/02/1982 09:00:00,1.92,G;C,103,100,0,0
01/03/1982 09:00:00,1.94,G;C,103,100,0,0
02/03/1982 09:00:00,2.09,G;C,103,100,0,0
03/03/1982 09:00:00,2.50,G;C,103,100,0,0
04/03/1982 09:00:00,2.45,G;C,103,100,0,0
05/03/1982 09:00:00,2.35,G;C,103,100,0,0
06/03/1982 09:00:00,4.07,G;C,103,100,0,0
07/03/1982 09:00:00,3.80,G;C,103,100,0,0
08/03/1982 09:00:00,3.29,G;C,103,100,0,0
09/03/1982 09:00:00,3.53,G;C,103,100,0,0
10/03/1982 09:00:00,4.17,G;C,103,100,0,0
11/03/1982 09:00:00,3.60,G;C,103,100,0,0
12/03/1982 09:00:00,3.47,G;C,103,100,0,0
13/03/1982 09:00:00,3.19,G;C,103,100,0,0
14/03/1982 09:00:00,4.52,G;C,103,100,0,0
15/03/1982 09:00:00,5.83,G;C,103,100,0,0
16/03/1982 09:00:00,4.28,G;C,103,100,0,0
17/03/1982 09:00:00,4.09,G;C,103,100,0,0
18/03/1982 09:00:00,3.85,G;C,103,100,0,0
19/03/1982 09:00:00,4.07,G;C,103,100,0,0
20/03/1982 09:00:00,3.93,G;C,103,100,0,0
21/03/1982 09:00:00,3.67,G;C,103,100,0,0
22/03/1982 09:00:00,3.46,G;C,103,100,0,0
23/03/1982 09:00:00,3.32,G;C,103,100,0,0
24/03/1982 09:00:00,3.14,G;C,103,100,0,0
25/03/1982 09:00:00,3.04,G;C,103,100,0,0
26/03/1982 09:00:00,2.98,G;C,103,100,0,0
27/03/1982 09:00:00,2.84,G;C,103,100,0,0
28/03/1982 09:00:00,2.75,G;C,103,100,0,0
29/03/1982 09:00:00,2.78,G;C,103,100,0,0
30/03/1982 09:00:00,2.72,G;C,103,100,0,0
31/03/1982 09:00:00,2.66,G;C,103,100,0,0
01/04/1982 09:00:00,2.54,G;C,103,100,0,0
02/04/1982 09:00:00,2.42,G;C,103,100,0,0
03/04/1982 09:00:00,2.32,G;C,103,100,0,0
04/04/1982 09:00:00,2.24,G;C,103,100,0,0
05/04/1982 09:00:00,2.22,G;C,103,100,0,0
06/04/1982 09:00:00,2.28,G;C,103,100,0,0
07/04/1982 09:00:00,2.38,G;C,103,100,0,0
08/04/1982 09:00:00,2.35,G;C,103,100,0,0
09/04/1982 09:00:00,2.27,G;C,103,100,0,0
10/04/1982 09:00:00,2.30,G;C,103,100,0,0
11/04/1982 09:00:00,2.16,G;C,103,100,0,0
12/04/1982 09:00:00,2.13,G;C,103,100,0,0
13/04/1982 09:00:00,1.84,G;C,103,100,0,0
14/04/1982 09:00:00,1.86,G;C,103,100,0,0
15/04/1982 09:00:00,1.77,G;C,103,100,0,0
16/04/1982 09:00:00,1.71,G;C,103,100,0,0
17/04/1982 09:00:00,1.74,G;C,103,100,0,0
18/04/1982 09:00:00,1.64,G;C,103,100,0,0
19/04/1982 09:00:00,1.56,G;C,103,100,0,0
20/04/1982 09:00:00,1.67,G;C,103,100,0,0
21/04/1982 09:00:00,1.66,G;C,103,100,0,0
22/04/1982 09:00:00,1.61,G;C,103,100,0,0
23/04/1982 09:00:00,1.55,G;C,103,100,0,0
24/04/1982 09:00:00,1.53,G;C,103,100,0,0
25/04/1982 09:00:00,1.45,G;C,103,100,0,0
26/04/1982 09:00:00,1.42,G;C,103,100,0,0
27/04/1982 09:00:00,1.46,E;Ed;C,103,100,0,0
28/04/1982 09:00:00,1.45,G;C,103,100,0,0
29/04/1982 09:00:00,1.44,G;C,103,100,0,0
30/04/1982 09:00:00,1.40,G;C,103,100,0,0
01/05/1982 09:00:00,1.42,G;C,103,100,0,0
02/05/1982 09:00:00,1.37,G;C,103,100,0,0
03/05/1982 09:00:00,1.32,G;C,103,100,0,0
04/05/1982 09:00:00,1.28,G;C,103,100,0,0
05/05/1982 09:00:00,1.28,G;C,103,100,0,0
06/05/1982 09:00:00,1.32,G;C,103,100,0,0
07/05/1982 09:00:00,1.32,G;C,103,100,0,0
08/05/1982 09:00:00,1.28,G;C,103,100,0,0
09/05/1982 09:00:00,1.24,G;C,103,100,0,0
10/05/1982 09:00:00,1.23,G;C,103,100,0,0
11/05/1982 09:00:00,1.24,G;C,103,100,0,0
12/05/1982 09:00:00,1.19,G;C,103,100,0,0
13/05/1982 09:00:00,1.14,G;C,103,100,0,0
14/05/1982 09:00:00,1.08,G;C,103,100,0,0
15/05/1982 09:00:00,1.04,G;C,103,100,0,0
16/05/1982 09:00:00,0.995,G;C,103,100,0,0
17/05/1982 09:00:00,1.07,G;C,103,100,0,0
18/05/1982 09:00:00,1.09,G;C,103,100,0,0
19/05/1982 09:00:00,1.08,G;C,103,100,0,0
20/05/1982 09:00:00,1.03,G;C,103,100,0,0
21/05/1982 09:00:00,1.04,G;C,103,100,0,0
22/05/1982 09:00:00,1.02,G;C,103,100,0,0
23/05/1982 09:00:00,0.973,G;C,103,100,0,0
24/05/1982 09:00:00,1.01,G;C,103,100,0,0
25/05/1982 09:00:00,1.00,G;C,103,100,0,0
26/05/1982 09:00:00,0.968,G;C,103,100,0,0
27/05/1982 09:00:00,0.898,G;C,103,100,0,0
28/05/1982 09:00:00,0.895,G;C,103,100,0,0
29/05/1982 09:00:00,0.803,G;C,103,100,0,0
30/05/1982 09:00:00,0.761,G;C,103,100,0,0
31/05/1982 09:00:00,0.920,G;C,103,100,0,0
01/06/1982 09:00:00,0.952,G;C,103,100,0,0
02/06/1982 09:00:00,0.936,G;C,103,100,0,0
03/06/1982 09:00:00,0.893,G;C,103,100,0,0
04/06/1982 09:00:00,0.867,G;C,103,100,0,0
05/06/1982 09:00:00,0.800,G;C,103,100,0,0
06/06/1982 09:00:00,0.757,G;C,103,100,0,0
07/06/1982 09:00:00,0.697,G;C,103,100,0,0
08/06/1982 09:00:00,0.632,G;C,103,100,0,0
09/06/1982 09:00:00,0.846,G;C,103,100,0,0
10/06/1982 09:00:00,0.883,G;C,103,100,0,0
11/06/1982 09:00:00,0.966,G;C,103,100,0,0
12/06/1982 09:00:00,0.913,G;C,103,100,0,0
13/06/1982 09:00:00,0.848,G;C,103,100,0,0
14/06/1982 09:00:00,0.830,G;C,103,100,0,0
15/06/1982 09:00:00,0.781,G;C,103,100,0,0
16/06/1982 09:00:00,0.799,G;C,103,100,0,0
17/06/1982 09:00:00,0.778,G;C,103,100,0,0
18/06/1982 09:00:00,0.972,G;C,103,100,0,0
19/06/1982 09:00:00,1.06,G;C,103,100,0,0
20/06/1982 09:00:00,0.813,G;C,103,100,0,0
21/06/1982 09:00:00,0.921,G;C,103,100,0,0
22/06/1982 09:00:00,1.92,G;C,103,100,0,0
23/06/1982 09:00:00,1.77,G;C,103,100,0,0
24/06/1982 09:00:00,1.32,G;C,103,100,0,0
25/06/1982 09:00:00,2.27,G;C,103,100,0,0
26/06/1982 09:00:00,2.57,G;C,103,100,0,0
27/06/1982 09:00:00,2.15,G;C,103,100,0,0
28/06/1982 09:00:00,2.45,G;C,103,100,0,0
29/06/1982 09:00:00,2.02,G;C,103,100,0,0
30/06/1982 09:00:00,1.98,G;C,103,100,0,0
01/07/1982 09:00:00,1.77,G;C,103,100,0,0
02/07/1982 09:00:00,1.69,G;C,103,100,0,0
03/07/1982 09:00:00,1.62,G;C,103,100,0,0
04/07/1982 09:00:00,1.46,G;C,103,100,0,0
05/07/1982 09:00:00,1.40,G;C,103,100,0,0
06/07/1982 09:00:00,1.32,G;C,103,100,0,0
07/07/1982 09:00:00,1.30,G;C,103,100,0,0
08/07/1982 09:00:00,1.28,G;C,103,100,0,0
09/07/1982 09:00:00,1.26,G;C,103,100,0,0
10/07/1982 09:00:00,1.19,G;C,103,100,0,0
11/07/1982 09:00:00,1.21,G;C,103,100,0,0
12/07/1982 09:00:00,1.13,G;C,103,100,0,0
13/07/1982 09:00:00,1.13,G;C,103,100,0,0
14/07/1982 09:00:00,1.06,G;C,103,100,0,0
15/07/1982 09:00:00,1.08,G;C,103,100,0,0
16/07/1982 09:00:00,1.06,G;C,103,100,0,0
17/07/1982 09:00:00,1.05,G;C,103,100,0,0
18/07/1982 09:00:00,1.04,G;C,103,100,0,0
19/07/1982 09:00:00,0.976,G;C,103,100,0,0
20/07/1982 09:00:00,0.926,G;C,103,100,0,0
21/07/1982 09:00:00,0.912,G;C,103,100,0,0
22/07/1982 09:00:00,0.877,G;C,103,100,0,0
23/07/1982 09:00:00,0.811,G;C,103,100,0,0
24/07/1982 09:00:00,0.791,G;C,103,100,0,0
25/07/1982 09:00:00,0.744,G;C,103,100,0,0
26/07/1982 09:00:00,0.948,G;C,103,100,0,0
27/07/1982 09:00:00,0.887,G;C,103,100,0,0
28/07/1982 09:00:00,0.900,G;C,103,100,0,0
29/07/1982 09:00:00,0.876,G;C,103,100,0,0
30/07/1982 09:00:00,0.855,G;C,103,100,0,0
31/07/1982 09:00:00,0.873,G;C,103,100,0,0
01/08/1982 09:00:00,0.895,G;C,103,100,0,0
02/08/1982 09:00:00,0.812,G;C,103,100,0,0
